osmnid,y,x
0,80.0,118.0
1,79.0,123.0
2,88.0,127.0
3,89.0,129.0
4,88.0,132.0
5,91.0,135.0
6,93.0,136.0
7,103.0,115.0
8,103.0,134.0
9,108.0,140.0
10,112.0,145.0
11,108.0,150.0
12,96.0,137.0
13,100.0,130.0
14,100.0,130.0
15,96.0,137.0
16,96.0,137.0
17,97.0,134.0
18,97.0,131.0
19,99.0,128.0
20,99.0,126.0
21,99.0,124.0
22,99.0,127.0
23,80.0,128.0
24,82.0,128.0
25,82.0,128.0
26,81.0,131.0
27,81.0,129.0
28,84.0,128.0
29,84.0,128.0
30,82.0,131.0
31,81.0,131.0
32,81.0,129.0
33,85.0,127.0
34,85.0,127.0
35,85.0,126.0
36,83.0,128.0
37,84.0,128.0
38,82.0,128.0
39,82.0,127.0
40,80.0,127.0
41,86.0,125.0
42,84.0,127.0
43,83.0,127.0
44,82.0,127.0
45,81.0,127.0
46,80.0,127.0
47,48.0,201.0
48,50.0,198.0
49,59.0,192.0
50,62.0,189.0
51,63.0,185.0
52,64.0,182.0
53,50.0,198.0
54,47.0,201.0
55,48.0,198.0
56,51.0,195.0
57,46.0,201.0
58,52.0,192.0
59,57.0,196.0
60,56.0,196.0
61,55.0,196.0
62,54.0,196.0
63,54.0,195.0
64,54.0,195.0
65,53.0,195.0
66,48.0,197.0
67,48.0,197.0
68,47.0,197.0
69,47.0,197.0
70,47.0,197.0
71,63.0,195.0
72,63.0,195.0
73,62.0,195.0
74,62.0,195.0
75,62.0,195.0
76,61.0,195.0
77,61.0,195.0
78,57.0,194.0
79,57.0,194.0
80,57.0,194.0
81,242.0,227.0
82,242.0,227.0
83,241.0,228.0
84,241.0,228.0
85,240.0,229.0
86,240.0,229.0
87,56.0,194.0
88,56.0,194.0
89,55.0,194.0
90,55.0,194.0
91,55.0,194.0
92,236.0,231.0
93,236.0,231.0
94,235.0,232.0
95,235.0,232.0
96,237.0,230.0
97,237.0,230.0
98,54.0,234.0
99,54.0,234.0
100,54.0,234.0
101,54.0,234.0
102,54.0,234.0
103,54.0,234.0
104,236.0,231.0
105,236.0,231.0
106,235.0,232.0
107,235.0,232.0
108,237.0,230.0
109,237.0,230.0
110,253.0,227.0
111,253.0,227.0
112,253.0,228.0
113,253.0,227.0
114,253.0,228.0
115,252.0,229.0
116,252.0,229.0
117,251.0,230.0
118,251.0,230.0
119,251.0,231.0
120,239.0,228.0
121,239.0,228.0
122,239.0,229.0
