osmid,y_quant,x_quant
10602396,80,118
10602410,79,123
10602412,88,127
10602431,89,129
10602432,88,132
10602434,91,135
10602435,93,136
10602437,103,115
10602446,103,134
10602539,108,140
10602540,112,145
10602544,108,150
10602644,96,137
10602703,100,130
10602723,100,130
20833724,76,144
20833778,76,130
20833779,76,129
20833780,77,128
20833781,77,128
20833782,78,127
20833784,77,127
20833787,76,128
20833790,81,129
20833799,80,128
20833802,87,133
20833853,108,166
20833878,84,191
20833879,84,191
20833880,84,191
20833883,83,192
20833888,68,204
20833910,63,170
20833912,102,126
20833915,104,120
20833916,106,118
20833918,108,115
20833929,127,159
20833954,79,182
20833956,81,181
20833958,81,180
20834066,61,105
20834068,57,109
20834107,108,114
20834108,105,112
20834112,96,113
20834113,96,115
20834122,99,126
20834590,61,90
20835220,67,166
20835222,68,167
20909318,66,194
20909331,55,203
20909334,53,201
20909342,53,193
20909348,62,197
20909349,64,196
20909351,65,195
20909353,66,192
20909356,65,192
20909360,67,191
20909370,64,189
20909376,68,190
20909377,69,189
20909399,55,211
20909400,55,211
20909401,55,211
20909404,54,211
20909416,48,225
20909449,59,175
20909458,68,156
20909472,107,153
20909476,108,156
20909500,126,168
20909522,117,151
20909526,127,164
20909530,83,131
20909531,84,131
20909533,87,133
20909535,83,133
20909541,93,137
20909546,91,131
20909549,90,131
20909551,89,132
20909559,94,133
20909560,96,136
20909561,97,134
20909562,96,132
20909564,96,133
20909565,99,131
20909570,96,130
20909571,94,132
20909582,93,135
20909583,79,118
20909584,82,104
20909585,81,109
20909586,80,114
20909587,82,109
20909598,92,118
20909599,94,114
20909602,90,117
20909603,88,117
20909604,85,117
20909605,85,117
20909606,83,115
20909607,84,114
20909628,83,125
20909678,65,163
20909834,65,164
20909889,95,130
20909891,96,132
20965057,55,210
20965077,75,139
20965084,90,141
20965086,35,221
31941751,117,99
31941773,117,101
31941794,116,102
31942123,108,113
33748763,29,103
33748792,40,102
33748801,55,105
35486969,69,99
41103263,102,148
41457279,105,131
41457293,85,111
50126212,40,102
59848071,69,97
59848095,60,89
60348872,126,63
60348910,126,63
60356272,60,91
60356461,58,99
60356781,57,104
60356782,57,105
60361731,56,105
60361808,82,104
60363074,57,106
60365099,82,104
60365100,84,104
60365459,82,104
60366658,104,112
60366894,108,115
60367617,107,113
60369867,126,157
60370846,126,166
60370847,126,165
60370848,126,164
60370851,124,163
60370857,126,166
60375008,112,137
60387828,58,104
60388202,56,106
60388330,63,91
60957312,153,231
76011155,113,118
78259131,124,191
78260103,121,186
78265692,128,164
78266450,129,165
78273822,111,107
79866946,62,92
87206700,112,143
87207023,114,141
87209201,113,173
87220845,101,127
88930909,102,156
89989804,109,116
90352989,127,165
91411742,102,143
91412562,98,141
91412565,98,139
91412568,100,137
91412570,97,140
91414808,95,141
91417290,96,137
91417303,95,138
91417731,94,138
101454147,128,68
101454194,128,67
130330841,88,131
130372434,99,122
130482896,87,126
130482915,87,124
130518145,78,127
132275261,126,163
132275273,125,166
132688569,105,161
137369321,77,189
139418029,97,161
139418053,99,157
139418060,99,155
177234516,90,189
177234594,85,183
177234659,83,185
177234772,86,190
194365033,56,122
194365364,64,127
194366920,57,114
201402022,147,229
202048633,73,116
202048644,78,106
202048654,79,104
202048661,78,108
202048682,75,107
202048696,76,114
202048700,81,107
202048715,79,105
202062656,75,106
202087585,76,117
202334909,71,108
202334913,71,109
202334914,70,113
202334917,74,112
202334922,72,110
202334936,74,111
202918876,111,102
203112657,65,113
203198558,69,117
203198575,69,117
203198618,67,114
203198627,70,115
203198632,72,106
203198652,71,108
203522192,68,108
203522322,67,108
203522333,66,106
203522340,66,107
203590522,77,111
206122804,41,75
206169040,78,122
206178456,82,105
206178458,82,105
206259358,89,112
206265752,84,107
206265753,84,107
206265755,82,106
206270868,51,106
215679941,113,146
221638761,63,124
221649981,59,123
240745473,97,99
240748826,97,141
245397602,151,233
246522232,85,188
246522299,83,183
246522310,83,182
246751193,172,231
246805578,116,99
246805581,117,100
246824011,93,116
246824012,89,115
246824013,93,115
246824014,90,114
246824016,110,118
246824017,112,120
246824018,115,122
246824022,111,122
246824023,108,121
246824024,113,124
246824025,112,125
246824026,112,125
246824028,110,123
246824042,105,119
246824043,105,120
246827875,118,133
246827876,117,133
